word,origin,category,root,first_use,history,modern_relatives
admiral,Arabic,Arabic,amir al-bahr (commander of the sea),13th century,"The word ""Admiral"" has a silent ""d"". The title of Admiral originated from the Arabic word for sea commander, amir al-bahr, or commander of the sea. When the medieval Europeans who first used this title to command on land copied it, one letter was lost. In Latin, this title was called admirabilis, or “worthy of admiration”. Today’s admirals are thus walking around with a 700-year-old copying error.",emir; emirate
alcohol,Arabic,Arabic,al-kohl (the antimony),16th century,"Alcohol started as eyeshadow. Arabic al‑kohl was a powdered antimony used as a black cosmetic around the eyes throughout the medieval Islamic world. Alchemists borrowed the word to mean any powder, and later to mean the purified essences and spirits they distilled. By the century, only the strongest of those spirits still carried the name spirits, and the word alcohol described the strongest of those spirits. I find it fascinating how the word alcohol began as a cosmetic and later became a term for liquors.",kohl
algebra,Arabic,Arabic,al-jabr (reunion of broken parts),16th century,"In the 9th century, the Baghdad mathematician al-Khwarizmi wrote a book called Al‑kitab al‑mukhtasar fi hisab al‑jabr wal‑muqabala. Al‑jabr was his word for moving terms across an equation, meaning ""reunion of parts."" Medieval European scholars took that word from the title. The idea it referred to became a whole discipline. His own name, when Latinized, gave us the word ""algorithm.”",algorithm
anger,Old Norse,Old Norse,"angr (grief, sorrow)",13th century,"The Old Norse for anger is angr, grief. When this word was borrowed into English in the 13th century it did not have the same hot, hostile sense that it has had for centuries, and is still shown in the word for distress that it evolved into, anguish. For centuries, however, the English word for anger has meant active hostility.",anguish; anxiety
arena,Latin,Latin,harena (sand),17th century,"All of the Roman amphitheaters had sand on the floors. Gladiators and the animals that fought them in the arena left blood on the sand which was frequently washed up. The Latin word for sand is harena, and it was later called the arena, the place where the games were held. Today all of the sports arenas in the world are called by that name.",
assassin,Arabic,Arabic,Hashshashin (nickname; hashish link disputed),13th century,"The term assassin comes from medieval Latin assassinus (from Arabic Hashshashin), which was the term used by outsiders to refer to the Nizari Ismailis with whom the Crusaders had become familiar. In accounts of the sect written by medieval European chroniclers such as Marco Polo and William of Tyre, members of the group were referred to as hashish users (from Latin assassinus). However, modern scholarship regards the term “assassin” as a pejorative term coined by the sect’s enemies, and notes that there is no evidence that actual hashish users ever existed. The term was introduced to English by the Crusaders who fought against the Nizari Ismailis.",
atlas,Greek,Greek,Atlas (a Titan who held up the sky),16th century,"The Titan Atlas holds up the sky on his shoulders in Greek myth, condemned to that punishment forever. Flemish cartographer Gerardus Mercator put an image of Atlas on the cover of his 1595 map collection, and readers started calling any book of maps by the same name.",
average,Arabic,Arabic,awariya (damaged goods),15th century,"The word “average” originally referred to a loss at sea of goods shipped before there was any concept of mathematics to compute with. When such a loss occurred by shipwreck at sea during a voyage, the merchants who had jointly paid for the goods to be shipped split their losses by the amount of each of their shares; thus, they had an “average” loss — in Arabic, this had been called an awariya, or shipping loss. By the 18th century, mathematicians had found that this way of sharing a loss also described the middle value of any set of numbers.",
awful,Old English,Old English,"ege (fear, terror)",Old English,"“Full of awe” or “inspiring awe and reverence” was the original meaning of the word awful. An awful God is a God who commands such profound reverence and fear. Through much of the 19th century, therefore, awful had two equally current meanings: “awe-inspiring” and “terrible.” By the 20th century, however, only the latter sense had come to be current, and it is this sense that has been inherited by such relatively recent terms as awesome and appalling.",awe; awesome
ballet,French,French,"balletto (little ball, dance)",17th century,"Louis XIV was a serious dancer, performing in court ballets for twenty years. He codified the dance technique at the Académie Royale de Danse in 1661, and thus, to this day, all positions, jumps, and turns in ballet are called by French names. The art form was developed in the Italian courts of the 15th and 16th centuries under the name of balletto, or “little dance”, but the French vocabulary was sacrosanct.",ballroom; ball
